name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
singapore,2024-02-11,32.5,25.1,28.1,36.9,25.1,30.1,23.1,75.8,4.915,100,8.33,rain,0,0,42.8,25,12.4,1014.2,88.1,9.7,263.9,22.8,9,10,2024-02-11T07:16:44,2024-02-11T19:21:00,0.04,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"48698099999,48679099999,WSAP,48694099999,48699099999,WSSL"
singapore,2024-02-12,29,25.7,26.9,33.1,25.7,28.4,23.5,82.2,14.814,100,8.33,rain,0,0,43.9,22.6,3.1,1013.7,86.7,9.5,245,21.2,9,30,2024-02-12T07:16:43,2024-02-12T19:21:02,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48698099999,48679099999,WSAP,48694099999,WSSS,48699099999,WSSL"
singapore,2024-02-13,29.6,24.6,27.1,34.8,24.6,29.3,24,83.6,13.904,100,12.5,rain,0,0,43.9,20.3,2.7,1012.7,87,9.2,281,24.3,10,30,2024-02-13T07:16:41,2024-02-13T19:21:03,0.11,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48698099999,48679099999,WSAP,48694099999,48699099999,WSSL"
singapore,2024-02-14,31.2,25.4,28,36.9,25.4,31.2,24.3,81.3,5.055,100,12.5,rain,0,0,39.2,24.7,21.9,1011.7,75.1,9.3,265.9,23,9,30,2024-02-14T07:16:38,2024-02-14T19:21:03,0.14,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48698099999,48679099999,WSAP,48694099999,48699099999,WSSL"
singapore,2024-02-15,29.6,26,27.2,34.4,26,29.5,24.2,84,1.989,100,8.33,rain,0,0,39.6,20.5,358.3,1012,87.5,9.2,159.8,13.9,8,10,2024-02-15T07:16:34,2024-02-15T19:21:03,0.18,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"48698099999,48679099999,WSAP,48694099999,WSSS,48699099999,WSSL"
singapore,2024-02-16,31.6,26,28.3,36.7,26,31.6,23.7,76.8,0.026,100,4.17,rain,0,0,43.9,24.9,9.1,1011.9,84.1,9.9,263.8,22.6,10,10,2024-02-16T07:16:29,2024-02-16T19:21:02,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"48698099999,48679099999,WSAP,WSSS,48694099999,48699099999,WSSL,WMKJ"
singapore,2024-02-17,31.9,26,28.2,37.1,26,30.7,23.1,74.8,0.132,100,4.17,rain,0,0,38.5,23.1,19.5,1011.5,88,10,284.4,24.4,9,10,2024-02-17T07:16:24,2024-02-17T19:21:00,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48698099999,48679099999,WSAP,48694099999,WSSS,48699099999,WSSL"
singapore,2024-02-18,32.3,26,28.7,37.1,26,31.2,23.2,73.3,0.174,100,4.17,rain,0,0,32.8,19.6,21.7,1011.5,81.7,9.9,255.3,22,10,30,2024-02-18T07:16:18,2024-02-18T19:20:57,0.28,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"48698099999,48679099999,WSAP,48694099999,48699099999,WSSL"
singapore,2024-02-19,33.1,26,29,38.7,26,32.6,23.9,75,0,0,0,rain,0,0,29.9,24.9,25.3,1011.5,88.8,10.1,284.8,24.5,9,30,2024-02-19T07:16:11,2024-02-19T19:20:54,0.32,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48698099999,48679099999,WSAP,48694099999,WSSS,48699099999,WSSL"
singapore,2024-02-20,33.5,26.1,29.1,39.9,26.1,32.9,23.9,74.5,0,0,0,rain,0,0,27.7,20.7,22.7,1011,88.8,10.1,252,21.7,10,30,2024-02-20T07:16:04,2024-02-20T19:20:50,0.35,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48698099999,48679099999,WSAP,48694099999,48699099999,WSSL"
singapore,2024-02-21,33.5,26.6,28.6,40.1,26.6,32.4,24.2,77.4,0,0,0,rain,0,0,28.1,15.7,13.6,1010.8,86.6,9.9,267.5,23.2,10,30,2024-02-21T07:15:55,2024-02-21T19:20:45,0.38,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48698099999,48679099999,WSAP,48694099999,48699099999,WSSL"
singapore,2024-02-22,32.5,26.1,28.7,38.6,26.1,32.1,23.8,75.8,0.174,100,4.17,rain,0,0,29.9,21,32.9,1011.7,78.1,10.1,300.5,26.1,10,30,2024-02-22T07:15:47,2024-02-22T19:20:40,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"48698099999,48679099999,WSAP,48694099999,WSSS,48699099999,WSSL"
singapore,2024-02-23,31.9,26,28.8,37.4,26,32.4,23.6,74.2,0,0,0,rain,0,0,31.7,20,19.4,1011.8,86.8,10.1,290.5,25,10,30,2024-02-23T07:15:37,2024-02-23T19:20:34,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48698099999,48679099999,WSAP,48694099999,48699099999,WSSL"
singapore,2024-02-24,31.6,26,28.7,35.6,26,31.5,22.7,71,0,0,0,rain,0,0,32.8,19.5,14.4,1011.5,81.8,10.2,255.8,22,10,10,2024-02-24T07:15:27,2024-02-24T19:20:28,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48698099999,48679099999,WSAP,48694099999,WSSS,48699099999,WSSL"
singapore,2024-02-25,33.5,26,29.2,37.1,26,31.9,22.9,70.5,0,0,0,,0,0,35.6,21,16,1011.1,81.1,10.1,305.8,26.3,10,30,2024-02-25T07:15:16,2024-02-25T19:20:20,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48698099999,48679099999,WSAP,48694099999,48699099999,WSSL"
singapore,2024-02-26,32.9,26.6,29.1,38.1,26.6,32.8,23.6,73.1,0,0,0,rain,0,0,46.4,26.2,20.8,1010.5,86.8,9.8,257.6,22.2,9,30,2024-02-26T07:15:05,2024-02-26T19:20:13,0.56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48698099999,48679099999,WSAP,48694099999,WSSS,48699099999,WSSL"
singapore,2024-02-27,30.2,27,28.4,35.7,30.1,32.3,23.8,76.2,0.184,100,8.33,rain,0,0,38.9,17.3,9.9,1010.1,85.6,9.9,250.9,21.5,10,30,2024-02-27T07:14:53,2024-02-27T19:20:05,0.59,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48698099999,48679099999,WSAP,48694099999,WSSS,48699099999,WSSL"
singapore,2024-02-28,32.5,26.7,29,36.2,29.2,32.2,22.6,69.4,0.868,100,4.17,rain,0,0,37.4,24.1,10.9,1009.5,89,10.1,302.8,26.3,10,10,2024-02-28T07:14:40,2024-02-28T19:19:56,0.62,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"48698099999,48679099999,WSAP,48694099999,48699099999,WSSL"
singapore,2024-02-29,34.1,26.4,29.6,37.8,26.4,32.4,22.7,68,0,0,0,rain,0,0,35.3,20.2,8.7,1009.7,86.5,10.1,237.4,20.6,10,30,2024-02-29T07:14:27,2024-02-29T19:19:47,0.66,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48698099999,48679099999,WSAP,48694099999,WSSS,48699099999,WSSL,WMKJ"
singapore,2024-03-01,32.6,27,29.1,38.6,29.9,33.7,24.1,75.1,0.264,100,4.17,rain,0,0,33.1,24.9,15.9,1010.1,81.5,10,258,22.3,10,30,2024-03-01T07:14:14,2024-03-01T19:19:37,0.69,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48698099999,48679099999,WSAP,48694099999,48699099999,WSSL"
singapore,2024-03-02,32.3,26.9,28.7,37.7,30,33,24.1,76.9,0.868,100,4.17,rain,0,0,38.9,18.5,2,1010.4,82.6,9.8,218.9,19,8,30,2024-03-02T07:14:00,2024-03-02T19:19:27,0.72,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"48698099999,48679099999,WSAP,48694099999,WSSS,48699099999,WSSL,WMKJ"
singapore,2024-03-03,30.1,25,27.3,36.4,25,30.4,24.6,85.5,17.916,100,12.5,rain,0,0,32.8,15.2,8.4,1010.5,80.1,8.8,114.8,10.1,8,30,2024-03-03T07:13:45,2024-03-03T19:19:16,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48698099999,48679099999,WSAP,48694099999,48699099999,WSSL"
singapore,2024-03-04,31.7,26,28.6,37.9,26,32.7,24.4,78.5,3.599,100,12.5,rain,0,0,32.8,18.5,14.3,1010,85.5,9.2,244.7,21.2,10,30,2024-03-04T07:13:30,2024-03-04T19:19:05,0.79,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48698099999,48679099999,WSAP,48694099999,48699099999,WSSL"
